ID,Text,Comment
KeyBinding.ToggleSelectMode,Перемкнути режим вибору,
KeyBinding.GamepadMoveDown,Навігація вниз,
KeyBinding.GamepadMoveLeft,Навігація ліворуч,
KeyBinding.GamepadMoveRight,Навігація праворуч,
KeyBinding.GamepadMoveUp,Навігація вгору,
KeyBindingGroup.GamePad,Геймпад,
KeyBinding.GamepadCameraRotateModifier,Утримувати для повороту камери,
ControllerSupport.NoGamepadDialog.Message,"Контролер не виявлено. За замовчуванням Steam Input налаштовує контролер на розкладку клавіатури та миші, яку цей мод не може використовувати. Перемкніть його на розкладку геймпада, щоб підтримка контролера запрацювала.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Відкрити рекомендовану розкладку контролера,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ігнорувати,
KeyBinding.IncreaseFloodgateHeight,Збільшити повзунок,
KeyBinding.DecreaseFloodgateHeight,Зменшити повзунок,
