ID,Text,Comment
KeyBinding.ToggleSelectMode,選択モードの切り替え,
KeyBinding.GamepadMoveDown,下に移動,
KeyBinding.GamepadMoveLeft,左に移動,
KeyBinding.GamepadMoveRight,右に移動,
KeyBinding.GamepadMoveUp,上に移動,
KeyBindingGroup.GamePad,ゲームパッド,
KeyBinding.GamepadCameraRotateModifier,押し続けてカメラを回転,
KeyBinding.FocusOnSelection,選択対象にフォーカス,
ControllerSupport.NoGamepadDialog.Message,"コントローラーが検出されませんでした。Steam Input はデフォルトでコントローラーをキーボードとマウスのレイアウトに設定しますが、このModでは使用できません。コントローラーを使用するには、ゲームパッドのレイアウトに切り替えてください。",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,推奨コントローラーレイアウトを開く,
ControllerSupport.NoGamepadDialog.IgnoreButton,無視,
KeyBinding.IncreaseFloodgateHeight,スライダーを上げる,
KeyBinding.DecreaseFloodgateHeight,スライダーを下げる,
KeyBinding.CursorHeightUp,カーソルの高さを上げる,
KeyBinding.CursorHeightDown,カーソルの高さを下げる,
ControllerSupport.Settings.HapticsHeader,コントローラー振動,
ControllerSupport.Settings.EnableVibration,コントローラーの振動を有効にする,
ControllerSupport.Settings.ShortcutHintsHeader,ショートカットヒント,
ControllerSupport.Settings.ShowInputHints,ゲームパッドの入力ヒントを表示,
ControllerSupport.Settings.HintStripPosition.Top,上,
ControllerSupport.Settings.HintStripPosition.Bottom,下,
ControllerSupport.Settings.HintStripPosition.None,なし,
ControllerSupport.Hints.Move,移動,
ControllerSupport.Hints.Scroll,スクロール,
ControllerSupport.Hints.Select,選択,
ControllerSupport.Hints.Place,配置,
ControllerSupport.Hints.Mark,マーク,
ControllerSupport.Hints.Rotate,回転,
ControllerSupport.Hints.Zoom,ズーム,
ControllerSupport.Hints.Priority,優先度,
ControllerSupport.Hints.Adjust,調整,
ControllerSupport.Hints.Speed,速度,
ControllerSupport.Hints.CursorHeight,高さ,
ControllerSupport.Settings.CursorHeader,カーソル,
ControllerSupport.Settings.HideCursor,カーソルを非表示,
ControllerSupport.Settings.HideCursor.Always,常に,
ControllerSupport.Settings.HideCursor.Auto,自動,
ControllerSupport.Settings.HideCursor.Never,しない,
