ID,Text,Comment
KeyBinding.ToggleSelectMode,Przełącz tryb wyboru,
KeyBinding.GamepadMoveDown,Nawiguj w dół,
KeyBinding.GamepadMoveLeft,Nawiguj w lewo,
KeyBinding.GamepadMoveRight,Nawiguj w prawo,
KeyBinding.GamepadMoveUp,Nawiguj w górę,
KeyBindingGroup.GamePad,Kontroler,
KeyBinding.GamepadCameraRotateModifier,Przytrzymaj aby obrócić kamerę,
ControllerSupport.NoGamepadDialog.Message,"Nie wykryto kontrolera. Domyślnie Steam Input ustawia kontroler na układ klawiatury i myszy, którego ten mod nie może używać. Przełącz go na układ gamepada, aby włączyć obsługę kontrolera.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Otwórz zalecany układ kontrolera,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignoruj,
KeyBinding.IncreaseFloodgateHeight,Zwiększ suwak,
KeyBinding.DecreaseFloodgateHeight,Zmniejsz suwak,
KeyBinding.CursorHeightUp,Podnieś wysokość kursora,
KeyBinding.CursorHeightDown,Obniż wysokość kursora,
ControllerSupport.Settings.HapticsHeader,Wibracje kontrolera,
ControllerSupport.Settings.EnableVibration,Włącz wibracje kontrolera,
ControllerSupport.Settings.ShortcutHintsHeader,Podpowiedzi skrótów,
ControllerSupport.Settings.ShowInputHints,Pokaż podpowiedzi sterowania gamepadem,
ControllerSupport.Settings.HintStripPosition.Top,Góra,
ControllerSupport.Settings.HintStripPosition.Bottom,Dół,
ControllerSupport.Settings.HintStripPosition.None,Brak,
ControllerSupport.Hints.Move,Przesuń,
ControllerSupport.Hints.Scroll,Przewiń,
ControllerSupport.Hints.Select,Wybierz,
ControllerSupport.Hints.Place,Umieść,
ControllerSupport.Hints.Mark,Oznacz,
ControllerSupport.Hints.Rotate,Obróć,
ControllerSupport.Hints.Zoom,Powiększ,
ControllerSupport.Hints.Priority,Priorytet,
ControllerSupport.Hints.Adjust,Dostosuj,
ControllerSupport.Hints.Speed,Prędkość,
ControllerSupport.Hints.CursorHeight,Wysokość,
ControllerSupport.Settings.CursorHeader,Kursor,
ControllerSupport.Settings.AutohideCursor,Automatycznie ukrywaj kursor podczas używania gamepada,
