ID,Text,Comment
KeyBinding.ToggleSelectMode,Alternar modo de seleção,
KeyBinding.GamepadMoveDown,Navegar para baixo,
KeyBinding.GamepadMoveLeft,Navegar para a esquerda,
KeyBinding.GamepadMoveRight,Navegar para a direita,
KeyBinding.GamepadMoveUp,Navegar para cima,
KeyBindingGroup.GamePad,Controle,
KeyBinding.GamepadCameraRotateModifier,Segurar para girar a câmera,
ControllerSupport.NoGamepadDialog.Message,"Nenhum controle foi detectado. Por padrão, o Steam Input configura o controle com um layout de teclado e mouse, que este mod não pode usar. Mude para um layout de gamepad para que o suporte a controles funcione.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Abrir layout de controle recomendado,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignorar,
KeyBinding.IncreaseFloodgateHeight,Aumentar controle deslizante,
KeyBinding.DecreaseFloodgateHeight,Reduzir controle deslizante,
KeyBinding.CursorHeightUp,Aumentar altura do cursor,
KeyBinding.CursorHeightDown,Diminuir altura do cursor,
