ID,Text,Comment
KeyBinding.ToggleSelectMode,切换选择模式,
KeyBinding.GamepadMoveDown,向下导航,
KeyBinding.GamepadMoveLeft,向左导航,
KeyBinding.GamepadMoveRight,向右导航,
KeyBinding.GamepadMoveUp,向上导航,
KeyBindingGroup.GamePad,游戏手柄,
KeyBinding.GamepadCameraRotateModifier,按住以旋转摄像机,
ControllerSupport.NoGamepadDialog.Message,"未检测到控制器。Steam Input 默认会将控制器设置为键盘和鼠标布局，而此模组无法使用该布局。请切换到游戏手柄布局，以启用控制器支持。",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,打开推荐的控制器布局,
ControllerSupport.NoGamepadDialog.IgnoreButton,忽略,
KeyBinding.IncreaseFloodgateHeight,增加滑块,
KeyBinding.DecreaseFloodgateHeight,减少滑块,
