ID,Text,Comment
KeyBinding.ToggleSelectMode,선택 모드 전환,
KeyBinding.GamepadMoveDown,아래로 이동,
KeyBinding.GamepadMoveLeft,왼쪽으로 이동,
KeyBinding.GamepadMoveRight,오른쪽으로 이동,
KeyBinding.GamepadMoveUp,위로 이동,
KeyBindingGroup.GamePad,게임패드,
KeyBinding.GamepadCameraRotateModifier,눌러서 카메라 회전,
ControllerSupport.NoGamepadDialog.Message,"컨트롤러가 감지되지 않았습니다. 기본적으로 Steam Input은 컨트롤러를 이 모드에서 사용할 수 없는 키보드 및 마우스 레이아웃으로 설정합니다. 컨트롤러 지원을 사용하려면 게임패드 레이아웃으로 전환하세요.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,권장 컨트롤러 레이아웃 열기,
ControllerSupport.NoGamepadDialog.IgnoreButton,무시,
KeyBinding.IncreaseFloodgateHeight,슬라이더 증가,
KeyBinding.DecreaseFloodgateHeight,슬라이더 감소,
KeyBinding.CursorHeightUp,커서 높이 올리기,
KeyBinding.CursorHeightDown,커서 높이 내리기,
ControllerSupport.Settings.HapticsHeader,컨트롤러 진동,
ControllerSupport.Settings.EnableVibration,컨트롤러 진동 활성화,
ControllerSupport.Settings.ShortcutHintsHeader,단축키 안내,
ControllerSupport.Settings.ShowInputHints,게임패드 입력 힌트 표시,
ControllerSupport.Settings.HintStripPosition.Top,위,
ControllerSupport.Settings.HintStripPosition.Bottom,아래,
ControllerSupport.Settings.HintStripPosition.None,없음,
ControllerSupport.Hints.Move,이동,
ControllerSupport.Hints.Scroll,스크롤,
ControllerSupport.Hints.Select,선택,
ControllerSupport.Hints.Place,배치,
ControllerSupport.Hints.Mark,표시,
ControllerSupport.Hints.Rotate,회전,
ControllerSupport.Hints.Zoom,확대/축소,
ControllerSupport.Hints.Priority,우선순위,
ControllerSupport.Hints.Adjust,조정,
ControllerSupport.Hints.Speed,속도,
ControllerSupport.Hints.CursorHeight,높이,
ControllerSupport.Settings.CursorHeader,커서,
ControllerSupport.Settings.AutohideCursor,게임패드 사용 시 커서를 자동으로 숨기기,
