ID,Text,Comment
KeyBinding.ToggleSelectMode,สลับโหมดการเลือก,
KeyBinding.GamepadMoveDown,เลื่อนลง,
KeyBinding.GamepadMoveLeft,เลื่อนไปทางซ้าย,
KeyBinding.GamepadMoveRight,เลื่อนไปทางขวา,
KeyBinding.GamepadMoveUp,เลื่อนขึ้น,
KeyBindingGroup.GamePad,เกมแพด,
KeyBinding.GamepadCameraRotateModifier,กดค้างเพื่อหมุนกล้อง,
ControllerSupport.NoGamepadDialog.Message,"ไม่พบคอนโทรลเลอร์ โดยค่าเริ่มต้น Steam Input จะตั้งค่าคอนโทรลเลอร์เป็นเลย์เอาต์แป้นพิมพ์และเมาส์ ซึ่งม็อดนี้ไม่สามารถใช้งานได้ เปลี่ยนเป็นเลย์เอาต์เกมแพดเพื่อให้การรองรับคอนโทรลเลอร์ทำงาน",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,เปิดเลย์เอาต์คอนโทรลเลอร์ที่แนะนำ,
ControllerSupport.NoGamepadDialog.IgnoreButton,ไม่สนใจ,
KeyBinding.IncreaseFloodgateHeight,เพิ่มแถบเลื่อน,
KeyBinding.DecreaseFloodgateHeight,ลดแถบเลื่อน,
KeyBinding.CursorHeightUp,เพิ่มระดับความสูงของเคอร์เซอร์,
KeyBinding.CursorHeightDown,ลดระดับความสูงของเคอร์เซอร์,
ControllerSupport.Settings.HapticsHeader,การสั่นของคอนโทรลเลอร์,
ControllerSupport.Settings.EnableVibration,เปิดใช้งานการสั่นของคอนโทรลเลอร์,
ControllerSupport.Settings.ShortcutHintsHeader,คำแนะนำทางลัด,
